city_key,state,latitude,longitude,source
BANGOR,ME,44.79884,-68.77265,geonames
BANGS,TX,31.71710,-99.13255,geonames
BARABOO,WI,43.47109,-89.74429,geonames
BARBERTON,OH,41.01283,-81.60512,geonames
BARDSTOWN,KY,37.80923,-85.46690,geonames
BARNEVELD,WI,43.01555,-89.89540,geonames
BARNHART,MO,38.34422,-90.39345,geonames
BARRINGTON,NH,43.22286,-71.04701,geonames
BARRON,WI,45.40135,-91.84906,geonames
BARRY,IL,39.69421,-91.03902,geonames
BARTLESVILLE,OK,36.74731,-95.98082,geonames
BARTOW,FL,27.89641,-81.84314,geonames
BASSETT,VA,36.75930,-79.99032,geonames
BASTIAN,VA,37.15206,-81.15009,geonames
BASTROP,TX,30.11049,-97.31527,geonames
BATAVIA,IA,40.99418,-92.16740,geonames
BATAVIA,IL,41.85003,-88.31257,geonames
BATES CITY,MO,39.00612,-94.07245,geonames
BATESBURG,SC,33.91014,-81.53733,geonames
BATESVILLE,AR,35.76980,-91.64097,geonames
BATESVILLE,MS,34.31150,-89.94426,geonames
BATH,NY,42.33702,-77.31776,geonames
BATON ROUGE,LA,30.44332,-91.18747,geonames
BATTLE CREEK,MI,42.31730,-85.17816,geonames
BATTLE MOUNTAIN,NV,40.64213,-116.93427,geonames
BAXLEY,GA,31.77825,-82.34846,geonames
BAXTER,TN,36.15367,-85.64359,geonames
BAY CITY,MI,43.59447,-83.88886,geonames
BEACH,ND,46.91807,-104.00437,geonames
BEALETON,VA,38.57179,-77.76388,geonames
BEAR CREEK,WI,44.53137,-88.72649,geonames
BEATRICE,NE,40.26806,-96.74697,geonames
BEAUMONT,MS,31.16935,-88.92004,geonames
BEAUMONT,TX,30.08605,-94.10185,geonames
BEAVER,UT,38.27691,-112.64105,geonames
BEAVER DAM,KY,37.40199,-86.87583,geonames
BEAVER DAM,WI,43.45777,-88.83733,geonames
BEAVERDAM,OH,40.83339,-83.97661,geonames
BECKLEY,WV,37.77817,-81.18816,geonames
BEDFORD,OH,41.39311,-81.53651,geonames
BEDFORD,PA,40.01869,-78.50391,geonames
BEDFORD PARK,IL,41.76281,-87.80006,geonames
BEEBE,AR,35.07064,-91.87959,geonames
BEECH ISLAND,SC,33.42736,-81.89095,geonames
BEEVILLE,TX,28.40095,-97.74974,geonames
BELDEN,MS,34.31038,-88.78839,geonames
BELEN,NM,34.66284,-106.77642,geonames
BELFIELD,ND,46.88529,-103.19962,geonames
BELGIUM,WI,43.49972,-87.85037,geonames
BELGRADE,MT,45.77604,-111.17690,geonames
BELHAVEN,NC,35.54017,-76.62299,geonames
BELLE CHASSE,LA,29.85493,-89.99063,geonames
BELLE FOURCHE,SD,44.67137,-103.85215,geonames
BELLE PLAINE,KS,37.39391,-97.28115,geonames
BELLE PLAINE,MN,44.62274,-93.76857,geonames
BELLE ROSE,LA,30.05048,-91.04149,geonames
BELLEFONTAINE,OH,40.36116,-83.75966,geonames
BELLEFONTE,PA,40.91339,-77.77833,geonames
BELLEMONT,AZ,35.23807,-111.83350,geonames
BELLEVILLE,KS,39.82445,-97.63254,geonames
BELLEVILLE,MI,42.20476,-83.48521,geonames
BELLEVILLE,WI,43.07611,-88.77427,geonames
BELLINGHAM,WA,48.75955,-122.48822,geonames
BELLOWS FALLS,VT,43.13341,-72.44398,geonames
BELLVILLE,OH,40.62006,-82.51072,geonames
BELLWOOD,IL,41.88142,-87.88312,geonames
BELMONT,NY,42.22312,-78.03445,geonames
BELMONT,OH,39.72950,-84.13966,geonames
BELMONT,WI,42.73611,-90.33429,geonames
BELOIT,KS,39.45612,-98.10616,geonames
BELOIT,WI,42.50835,-89.03178,geonames
BELTON,TX,31.05601,-97.46445,geonames
BELTSVILLE,MD,39.03483,-76.90747,geonames
BELVIDERE,IL,42.26391,-88.84427,geonames
BEMIDJI,MN,47.47356,-94.88028,geonames
BENJAMIN,TX,33.58398,-99.79231,geonames
BENNET,NE,40.68000,-96.50640,geonames
BENNETT,CO,39.75887,-104.42746,geonames
BENNETTSVILLE,SC,34.61738,-79.68478,geonames
BENSALEM,PA,40.10455,-74.95128,geonames
BENSENVILLE,IL,41.95503,-87.94007,geonames
BENSON,AZ,31.96786,-110.29452,geonames
BENTLEYVILLE,PA,40.11674,-80.00839,geonames
BENTON,AR,34.56454,-92.58683,geonames
BENTON,IL,37.99672,-88.92007,geonames
BENTON,KY,36.85728,-88.35031,geonames
BENTON HARBOR,MI,42.11671,-86.45419,geonames
BEREA,KY,37.56869,-84.29632,geonames
BEREA,OH,41.36616,-81.85430,geonames
BERESFORD,SD,43.08054,-96.77366,geonames
BERGEN,NY,43.08534,-77.94223,geonames
BERLIN,MA,42.38120,-71.63701,geonames
BERLIN,WI,43.96804,-88.94345,geonames
BERNALILLO,NM,35.30004,-106.55114,geonames
BERTHOUD,CO,40.30832,-105.08109,geonames
BERWICK,LA,29.69465,-91.21899,geonames
BERWYN,IL,41.85059,-87.79367,geonames
BESSEMER,AL,33.40178,-86.95444,geonames
BESSEMER,MI,46.48134,-90.05295,geonames
BETHANY,LA,32.37321,-94.04269,geonames
BETHANY,MO,40.26833,-94.02829,geonames
BETHEL,NC,35.80710,-77.37886,geonames
BETHEL,PA,40.47454,-76.29134,geonames
BETHLEHEM,GA,33.93206,-83.71378,geonames
BETTENDORF,IA,41.52448,-90.51569,geonames
BEVIER,MO,39.74698,-92.56408,geonames
BEVINGTON,IA,41.36055,-93.79078,geonames
BIDDEFORD,ME,43.49258,-70.45338,geonames
BIDWELL,OH,38.91869,-82.29904,geonames
BIG BEND,WI,42.88140,-88.20676,geonames
BIG CABIN,OK,36.53787,-95.22136,geonames
BIG LAKE,TX,31.19154,-101.46039,geonames
BIG POOL,MD,39.62371,-78.01583,geonames
BIG RAPIDS,MI,43.69808,-85.48366,geonames
BIG SPRING,TX,32.25040,-101.47874,geonames
